project_id,student_id,project_title,technologies_used,start_date,end_date,outcome
1,1,Inventory Control System,"Java, Spring Boot, React, MySQL, Barcode Integration",2023-10-24,2023-12-04,Completed
2,1,Supply Chain Management,"Java, Microservices, React, Database Integration",2023-08-07,2023-09-22,Completed
3,1,Document Management System,"Java, Spring Boot, React, File Upload, Version Control",2023-10-10,2023-12-09,Deployed
4,1,Market Basket Analysis,"Python, Association Rules, Pandas, R, Retail Analytics",2023-06-17,2023-09-04,Completed
5,2,Handwritten Digit Recognition,"Python, CNN, TensorFlow, Jupyter Notebook",2023-10-20,2024-01-05,Deployed
6,2,Content Management System,"Java, Spring MVC, Angular, MySQL, User Authentication",2023-01-08,2023-06-21,Completed
7,2,Password Strength Analyzer,"Python, Cryptography, Hash Functions, Security Algorithms",2023-08-21,2023-11-14,Ongoing
8,3,Real-time Data Streaming Platform,"Python, Apache Kafka, Pandas, Stream Processing",2023-09-04,2023-12-16,Abandoned
9,3,Sales Performance Dashboard,"Python, Pandas, Plotly, Dash, Business Intelligence",2023-08-17,2024-01-30,Completed
10,5,Web Analytics Platform,"Python, Google Analytics API, Pandas, Matplotlib",2023-12-13,2024-05-07,Completed
11,5,Sales Performance Dashboard,"Python, Pandas, Plotly, Dash, Business Intelligence",2023-06-12,2023-09-21,Abandoned
12,5,Data Lake Architecture,"Python, Apache Spark, Hadoop, AWS S3, Data Ingestion",2023-02-12,2023-05-05,Ongoing
13,5,Social Media Analytics Dashboard,"Python, Pandas, Plotly, Twitter API, Sentiment Analysis",2023-11-20,2024-03-01,Ongoing
14,5,Survival Analysis Tool,"Python, Lifelines, Pandas, R",2023-01-12,2023-06-18,Ongoing
15,5,ETL Pipeline for E-commerce,"Python, Apache Airflow, Pandas, PostgreSQL, Data Integration",2023-03-11,2023-05-20,Completed
16,5,Network Forensics Tool,"Python, Wireshark, Network Packet Analysis, Evidence Collection",2023-06-27,2023-10-23,Completed
17,5,Voice Assistant for Local Languages,"Python, SpeechRecognition, NLTK, TensorFlow",2023-08-25,2024-02-14,Deployed
18,6,Object Detection for Autonomous Vehicles,"Python, YOLO, TensorFlow, Computer Vision",2023-04-06,2023-09-17,Completed
19,6,Epidemic Spread Simulation,"MATLAB, Python, Differential Equations, Agent-based Modeling",2023-05-18,2023-07-24,Abandoned
20,7,Vulnerability Scanner,"Python, Nmap, Kali Linux, Port Scanning, Security Testing",2023-01-13,2023-02-22,Completed
21,7,Network Forensics Tool,"Python, Wireshark, Network Packet Analysis, Evidence Collection",2023-08-25,2023-10-25,Deployed
22,7,Intrusion Detection System,"Python, Wireshark, Scapy, Machine Learning, Kali Linux",2023-12-14,2024-05-22,Deployed
23,7,Security Audit Framework,"Python, OWASP, Security Standards, Compliance",2023-11-20,2024-02-19,Abandoned
24,8,Automated Penetration Testing Tool,"Python, Metasploit, Nmap, Burp Suite",2023-08-01,2024-01-21,Deployed
25,8,DDoS Attack Detection,"Python, Wireshark, Network Analysis, Real-time Monitoring",2023-07-13,2023-09-20,Completed
